Answer,Question
Del árbol caído todos quieren hacer leña,"Abuela, ¿por qué la gente me critica ahora que estoy pasando por un mal momento?"
A caballo regalao no se le mira el cormillo,"¿Abuela, está bien si no me gusta el regalo que me dieron?"
A lo hecho pecho,"¿Abuela, qué hago si cometí un error grande?"
¿A quién le amarga un dulce?,"Abuela, ¿crees que deba aceptar este pequeño gusto que me quiero dar?"
Al son que le toquen bailan,"¿Abuela, cómo puedo llevarme bien con todos en el trabajo?"
"El que da lo que tiene, a pedir se atiene",¿por qué debo ahorrar y no gastar todo mi dinero?
Dime con quien anda y te diré quien eres,"¿Abuela, crees que mis amistades dicen algo de mí?"
Nadie aprende por cabeza ajena,"Abuela, ¿por qué mi amigo no me hace caso si ya pasé por lo mismo?"
El mono sabe el palo que trepa,"¿Abuela, cómo sabes cuándo confiar en alguien?"
El que se va pa' Aguadilla pierde su silla,"¿Abuela, por qué me quitaron mi lugar en la mesa?"
Lo que se dá no se quita porque el diablo te visita,"¿Abuela, está mal si pido de vuelta algo que regalé?"
Hablando la gente se entiende,"¿Abuela, cómo puedo resolver un problema con mi amigo?"
Cría fama y acuéstate a dormir,"¿Abuela, por qué la gente cree cosas de mí aunque no me conozcan bien?"
El vago trabaja el doble,"¿Abuela, por qué tengo que hacer bien las cosas desde el principio?"
El pez muere por la boca,"¿Abuela, por qué dicen que hablar mucho trae problemas?"
Amigo es un peso en el bolsillo,"¿Abuela, por qué dices que hay que tener cuidado con los amigos?"
El que tiene padrino se bautiza,"¿Abuela, cómo esa persona consiguió ese trabajo tan rápido?"
Dando y dando pajaritos volando,"¿Abuela, por qué debo pagar mis deudas rápido?"
Hoy por ti mañana por mi,"¿Abuela, por qué ayudamos a los vecinos si no nos toca?"
Crías cuervos y te sacaran los ojos,"¿Abuela, por qué esa persona me traicionó si la ayudé tanto?"
La soga parte por lo mas finito,"¿Abuela, por qué siempre culpan al más débil en los problemas?"
Sacar los trapitos al sol,"¿Abuela, qué pasa si cuento los secretos de alguien durante una pelea?"
"De cualquier maya, sale un ratón","¿Abuela, te sorprende que esa persona hiciera algo así?"
Cuando no está preso lo andan buscando,"¿Abuela, por qué ese muchacho siempre está metido en líos?"
El jíbaro es cosa mala,"¿Abuela, cómo los campesinos resuelven las cosas tan rápido?"
Músico pago no toca bien,"¿Abuela, por qué el plomero no hizo buen trabajo después de pagarle?"
No tengo velas en este entierro,"¿Abuela, debo opinar en esta discusión familiar?"
No hay peor cuña que la del mismo palo,"¿Abuela, por qué duele más cuando un familiar no te ayuda?"
No cambies oro por cobre (chinas por botellas),"¿Abuela, crees que hice mal en dejar a mi amiga por otras personas?"
Yo sé de la 'pata' que cojea,"¿Abuela, cómo sabes que esa persona no es de fiar?"
A cada lechón le llega su noche buena,"¿Abuela, esa persona mala algún día pagará por lo que hizo?"
"El que no llora, no mama","¿Abuela, por qué debo hablar si necesito ayuda?"
"De tal palo, tal astilla","¿Abuela, por qué dicen que me parezco tanto a papá?"
Dime de qué presumes y te diré de lo que careces,"¿Abuela, por qué esa persona siempre anda alardeando?"
"Donde comen dos, comen tres","¿Abuela, podemos invitar a mi amigo a cenar aunque no haya avisado?"
Le dan pon y quiere guiar,"¿Abuela, por qué ese amigo se cree con derechos por un simple favor?"
El que presta el carro presta a la mujer,"¿Abuela, me prestas el carro para ir a casa de un amigo?"
Es más vago que la 'quijá' de arriba,"¿Abuela, por qué dices que mi primo es tan flojo?"
No da un tajo ni en defensa propia,"¿Abuela, ese muchacho nunca ayuda en nada, verdad?"
Con la boca es un mamey,"¿Abuela, por qué es tan fácil decir cosas y no hacerlas?"
Yerba mala nunca muere,"¿Abuela, por qué esa persona sigue por ahí a pesar de todo?"
Muchos caciques y pocos indios,"¿Abuela, por qué hay tantos jefes y nadie trabaja de verdad?"
Más claro no canta un gallo,"¿Abuela, fui muy clara al decirle lo que sentía?"
Se está curando en salud,"¿Abuela, por qué mi hermano se justifica tanto antes de que le pregunten?"
"Cuando tú ibas, yo venía","¿Abuela, cómo sabes tanto de esto?"
"Ojo por ojo, diente por diente","¿Abuela, crees que deba vengarme de esa persona?"
Alábate pollo que mañana te guisan,"¿Abuela, está mal hablar bien de uno mismo?"
Bailamos todos o rompemos la vitrola,"¿Abuela, por qué todos deben recibir el mismo trato?"
Camarón que se duerme se lo lleva la corriente,"¿Abuela, por qué debo estar siempre pendiente y despierto?"
Se cree la última Coca Cola del desierto,"¿Abuela, por qué esa persona se cree tan especial?"
